Length of dataset:  36837
2021-06-12 14:12:11.029474
Cuda enabled:  True
{'root_dir': 'data/test/', 'save_dir': 'data/test/results_3_prop/0/', 'disable_cuda': False, 'workers': 0, 'epochs': 2, 'start_epoch': 0, 'batch_size': 10, 'lr': 0.01, 'lr_milestones': [200, 400, 600, 800], 'momentum': 0.9, 'weight_decay': 0, 'print_freq': 10, 'resume': '', 'train_size': 22102, 'val_size': 7367, 'test_size': 7368, 'optimizer': 'Adam', 'atom_fea_len': 64, 'h_fea_len': 32, 'n_conv': 1, 'n_hp': 1, 'scheduler': 'MultiStepLR', 'metric': 'rmse', 'seed': 887, 'weights': None, 'dropout': 0, 'cuda': True}
Loading datasets...
Predicting  3  properties!!
Epoch: [0][1540/2211]	Time 0.875 (0.941)	Data 0.862 (0.927)	Loss 0.2790 (0.2971)	ERR 0.469 (0.496)
Epoch: [0][1550/2211]	Time 0.839 (0.941)	Data 0.826 (0.927)	Loss 0.1235 (0.2966)	ERR 0.351 (0.496)
Epoch: [0][1560/2211]	Time 0.943 (0.941)	Data 0.931 (0.927)	Loss 0.3447 (0.2961)	ERR 0.492 (0.495)
Epoch: [0][1570/2211]	Time 0.731 (0.940)	Data 0.718 (0.926)	Loss 0.2206 (0.2958)	ERR 0.463 (0.495)
Epoch: [0][1580/2211]	Time 0.897 (0.941)	Data 0.880 (0.927)	Loss 0.1884 (0.2955)	ERR 0.424 (0.494)
Epoch: [0][1590/2211]	Time 0.801 (0.941)	Data 0.788 (0.927)	Loss 0.1746 (0.2948)	ERR 0.380 (0.494)
Epoch: [0][1600/2211]	Time 3.377 (0.951)	Data 3.360 (0.937)	Loss 0.0724 (0.2944)	ERR 0.253 (0.493)
Epoch: [0][1610/2211]	Time 2.038 (0.964)	Data 2.024 (0.950)	Loss 0.1180 (0.2939)	ERR 0.318 (0.493)
Epoch: [0][1620/2211]	Time 1.998 (0.971)	Data 1.983 (0.957)	Loss 0.1599 (0.2939)	ERR 0.353 (0.493)
Epoch: [0][1630/2211]	Time 1.393 (0.973)	Data 1.379 (0.960)	Loss 0.2324 (0.2938)	ERR 0.466 (0.493)
Epoch: [0][1640/2211]	Time 0.756 (0.975)	Data 0.739 (0.961)	Loss 0.1217 (0.2932)	ERR 0.344 (0.492)
